features	mean
309	tBodyAcc-mean()-X	0.274347260646063
310	tBodyAcc-mean()-Y	-0.0177434918458972
311	tBodyAcc-mean()-Z	-0.108925032737064
316	tBodyAcc-std()-X	-0.607783818968688
317	tBodyAcc-std()-Y	-0.510191378479501
318	tBodyAcc-std()-Z	-0.61306429934125
290	tBodyAcc-mad()-X	-0.633592610907429
291	tBodyAcc-mad()-Y	-0.525696539001884
292	tBodyAcc-mad()-Z	-0.61498890978365
306	tBodyAcc-max()-X	-0.466732370523269
307	tBodyAcc-max()-Y	-0.305180462546411
308	tBodyAcc-max()-Z	-0.562229619850407
312	tBodyAcc-min()-X	0.525304172511095
313	tBodyAcc-min()-Y	0.389536587321513
314	tBodyAcc-min()-Z	0.598021923353949
315	tBodyAcc-sma()	-0.552087115648893
228	tBodyAcc-energy()-X	-0.825459670396252
229	tBodyAcc-energy()-Y	-0.902704282327838
230	tBodyAcc-energy()-Z	-0.854661759222973
234	tBodyAcc-iqr()-X	-0.689161821371472
235	tBodyAcc-iqr()-Y	-0.643511768623583
236	tBodyAcc-iqr()-Z	-0.640685815482928
231	tBodyAcc-entropy()-X	-0.100331848808134
232	tBodyAcc-entropy()-Y	-0.128765122937701
233	tBodyAcc-entropy()-Z	-0.157863394141636
213	tBodyAcc-arCoeff()-X,1	-0.118954333677729
214	tBodyAcc-arCoeff()-X,2	0.108573706261895
215	tBodyAcc-arCoeff()-X,3	-0.0356994169213299
216	tBodyAcc-arCoeff()-X,4	0.122000192842546
217	tBodyAcc-arCoeff()-Y,1	-0.029676503537188
218	tBodyAcc-arCoeff()-Y,2	0.0317237742172389
219	tBodyAcc-arCoeff()-Y,3	0.155147508424199
220	tBodyAcc-arCoeff()-Y,4	-0.0180767920878722
221	tBodyAcc-arCoeff()-Z,1	0.00611033964754394
222	tBodyAcc-arCoeff()-Z,2	0.0377291540841395
223	tBodyAcc-arCoeff()-Z,3	0.034423733821314
224	tBodyAcc-arCoeff()-Z,4	-0.0826692044542652
225	tBodyAcc-correlation()-X,Y	-0.120308569497857
226	tBodyAcc-correlation()-X,Z	-0.19774621582879
227	tBodyAcc-correlation()-Y,Z	0.102198864072034
468	tGravityAcc-mean()-X	0.669226222373046
469	tGravityAcc-mean()-Y	0.00403879092060517
470	tGravityAcc-mean()-Z	0.0921508600211059
475	tGravityAcc-std()-X	-0.965207115039421
476	tGravityAcc-std()-Y	-0.95440802665318
477	tGravityAcc-std()-Z	-0.938900969424022
449	tGravityAcc-mad()-X	-0.966017547593359
450	tGravityAcc-mad()-Y	-0.955361184463938
451	tGravityAcc-mad()-Z	-0.940206277312749
465	tGravityAcc-max()-X	0.609058202575891
466	tGravityAcc-max()-Y	-0.0103216842233446
467	tGravityAcc-max()-Z	0.0967393305199664
471	tGravityAcc-min()-X	0.683762046463103
472	tGravityAcc-min()-Y	0.0166078634418512
473	tGravityAcc-min()-Z	0.0793492718974707
474	tGravityAcc-sma()	-0.0985870819600584
440	tGravityAcc-energy()-X	0.446206727733547
441	tGravityAcc-energy()-Y	-0.721469908539694
442	tGravityAcc-energy()-Z	-0.763609232749742
446	tGravityAcc-iqr()-X	-0.968239871201476
447	tGravityAcc-iqr()-Y	-0.958592816013108
448	tGravityAcc-iqr()-Z	-0.944775940840858
443	tGravityAcc-entropy()-X	-0.674768951348029
444	tGravityAcc-entropy()-Y	-0.866704392505228
445	tGravityAcc-entropy()-Z	-0.669100243301527
425	tGravityAcc-arCoeff()-X,1	-0.504401651936594
426	tGravityAcc-arCoeff()-X,2	0.542886549905516
427	tGravityAcc-arCoeff()-X,3	-0.580674458607939
428	tGravityAcc-arCoeff()-X,4	0.617818193775729
429	tGravityAcc-arCoeff()-Y,1	-0.343618301448707
430	tGravityAcc-arCoeff()-Y,2	0.330183502639498
431	tGravityAcc-arCoeff()-Y,3	-0.360744984572308
432	tGravityAcc-arCoeff()-Y,4	0.408875435293201
433	tGravityAcc-arCoeff()-Z,1	-0.428082912307475
434	tGravityAcc-arCoeff()-Z,2	0.453367251514286
435	tGravityAcc-arCoeff()-Z,3	-0.478049652346497
436	tGravityAcc-arCoeff()-Z,4	0.499489809797114
437	tGravityAcc-correlation()-X,Y	0.17568274446598
438	tGravityAcc-correlation()-X,Z	-0.108287775463795
439	tGravityAcc-correlation()-Y,Z	0.0848488415988038
280	tBodyAccJerk-mean()-X	0.0789381220355816
281	tBodyAccJerk-mean()-Y	0.0079481069090025
282	tBodyAccJerk-mean()-Z	-0.00467469823628666
287	tBodyAccJerk-std()-X	-0.63978102073413
288	tBodyAccJerk-std()-Y	-0.607971599340832
289	tBodyAccJerk-std()-Z	-0.762820240449202
