features	standard deviation
309	tBodyAcc-mean()-X	0.0676277962784943
310	tBodyAcc-mean()-Y	0.0371281663827435
311	tBodyAcc-mean()-Z	0.0530330859935597
316	tBodyAcc-std()-X	0.438693831339194
317	tBodyAcc-std()-Y	0.500239766883052
318	tBodyAcc-std()-Z	0.403656584651858
290	tBodyAcc-mad()-X	0.413333018338302
291	tBodyAcc-mad()-Y	0.484200647735623
292	tBodyAcc-mad()-Z	0.399034058245509
306	tBodyAcc-max()-X	0.538706787937137
307	tBodyAcc-max()-Y	0.279920275645106
308	tBodyAcc-max()-Z	0.282990528345684
312	tBodyAcc-min()-X	0.35658895383491
313	tBodyAcc-min()-Y	0.338844070101853
314	tBodyAcc-min()-Z	0.290614654527968
315	tBodyAcc-sma()	0.461374610489333
228	tBodyAcc-energy()-X	0.247051818372546
229	tBodyAcc-energy()-Y	0.125987849568003
230	tBodyAcc-energy()-Z	0.205997502274485
234	tBodyAcc-iqr()-X	0.359208955275679
235	tBodyAcc-iqr()-Y	0.368864626867882
236	tBodyAcc-iqr()-Z	0.372065441972237
231	tBodyAcc-entropy()-X	0.462315492015796
232	tBodyAcc-entropy()-Y	0.433687257153052
233	tBodyAcc-entropy()-Z	0.368101697846064
213	tBodyAcc-arCoeff()-X,1	0.30772148256937
214	tBodyAcc-arCoeff()-X,2	0.247139818354679
215	tBodyAcc-arCoeff()-X,3	0.24782017417328
216	tBodyAcc-arCoeff()-X,4	0.232044067142965
217	tBodyAcc-arCoeff()-Y,1	0.254461172108767
218	tBodyAcc-arCoeff()-Y,2	0.213707644491184
219	tBodyAcc-arCoeff()-Y,3	0.208718482461815
220	tBodyAcc-arCoeff()-Y,4	0.22025683499872
221	tBodyAcc-arCoeff()-Z,1	0.281721843867417
222	tBodyAcc-arCoeff()-Z,2	0.215456028850331
223	tBodyAcc-arCoeff()-Z,3	0.236854255066669
224	tBodyAcc-arCoeff()-Z,4	0.230957461626828
225	tBodyAcc-correlation()-X,Y	0.357676934489248
226	tBodyAcc-correlation()-X,Z	0.325103253809755
227	tBodyAcc-correlation()-Y,Z	0.376048745505092
468	tGravityAcc-mean()-X	0.515485780308741
469	tGravityAcc-mean()-Y	0.378909215421356
470	tGravityAcc-mean()-Z	0.334270168704641
475	tGravityAcc-std()-X	0.0777147960480108
476	tGravityAcc-std()-Y	0.0852866205384834
477	tGravityAcc-std()-Z	0.101554847657515
449	tGravityAcc-mad()-X	0.0761984074973394
450	tGravityAcc-mad()-Y	0.0842337759905093
451	tGravityAcc-mad()-Z	0.100521377576158
465	tGravityAcc-max()-X	0.509003275335256
466	tGravityAcc-max()-Y	0.366683488644674
467	tGravityAcc-max()-Z	0.329611069144372
471	tGravityAcc-min()-X	0.507051553876899
472	tGravityAcc-min()-Y	0.376404366728383
473	tGravityAcc-min()-Z	0.336731410192899
474	tGravityAcc-sma()	0.39194457685093
440	tGravityAcc-energy()-X	0.696454611374246
441	tGravityAcc-energy()-Y	0.454408668282572
442	tGravityAcc-energy()-Z	0.424081696116968
446	tGravityAcc-iqr()-X	0.0717859944176486
447	tGravityAcc-iqr()-Y	0.0806892568819021
448	tGravityAcc-iqr()-Z	0.0960495894031246
443	tGravityAcc-entropy()-X	0.361048291089865
444	tGravityAcc-entropy()-Y	0.281431008934707
445	tGravityAcc-entropy()-Z	0.393154812472846
425	tGravityAcc-arCoeff()-X,1	0.216469557472953
